name,Wikipedia Link,location,status,security,security_class_cleaned,capacity,capacity_cleaned,pop,pop_cleaned,pop_measured_time,opened,year_opened,Notes Section,closed,managed_by,director,built,built by
"Federal Transfer Center, Oklahoma City","https://en.wikipedia.org/wiki/Federal_Transfer_Center,_Oklahoma_City","Oklahoma City, Oklahoma",Operational,Administrative facility,administrative,,,1400,1386,2020,,,Could not find capacity. Population from 5.22.2020 from https://www.bop.gov/locations/institutions/okl/,,Federal Bureau of Prisons,,,
"Federal Detention Center, Philadelphia","https://en.wikipedia.org/wiki/Federal_Detention_Center,_Philadelphia","Philadelphia, Pennsylvania",Operational,Administrative facility (all security levels),administrative,,,1030,1029,2020,,2000,"Population from BOP site on 5.22.2020 
Could not find capacity. 
https://www.bop.gov/locations/institutions/phl/",,Federal Bureau of Prisons,,,
"Metropolitan Correctional Center, New York","https://en.wikipedia.org/wiki/Metropolitan_Correctional_Center,_New_York","Manhattan, New York City",Operational,Administrative facility,administrative,,,763[1],763,,1975,1975,,,Federal Bureau of Prisons,,,
"Metropolitan Detention Center, Brooklyn","https://en.wikipedia.org/wiki/Metropolitan_Detention_Center,_Brooklyn","80 29th StreetBrooklyn, NY 11232",Operational,Administrative facility (all security levels),administrative,,,"1,600[1]","1,600",,,,,,Federal Bureau of Prisons,,,
Alexander Correctional Institution,https://en.wikipedia.org/wiki/Alexander_Correctional_Institution,"633 Old Landfill Road, Taylorsville, North Carolina",open,close security,close,1180,1180,,,,April 2004,2004,,,North Carolina Department of Public Safety,,,
Bertie Correctional Institution,https://en.wikipedia.org/wiki/Bertie_Correctional_Institution,"218 Cooper Hill Road Windsor, North Carolina",open,close,close,1400,1400,,,,2006,2006,,,North Carolina Department of Public Safety,,,
Warren Correctional Institution,https://en.wikipedia.org/wiki/Warren_Correctional_Institution,"5787 Ohio 63 Lebanon, Ohio",open,Close,close,1328,1328,,,,1989,1989,I think this one is meant to be North Carolina. Capacity 809. Year opened. 1997.,,Ohio Department of Rehabilitation and Correction,,,
Draper Correctional Facility,https://en.wikipedia.org/wiki/Draper_Correctional_Facility,"2828 Alabama Highway 143, Elmore, Alabama",,not open yet,complex,1232,1232,0,0,2020,1939,1939,"NOT AN OPEN PRISON YET
https://theappeal.org/alabama-reopens-deplorable-prison-to-quarantine-new-prisoners/","March 13, 2018",Alabama Department of Corrections,Louis Boyd,,
Hancock State Prison,https://en.wikipedia.org/wiki/Hancock_State_Prison,"701 Prison Boulevard Sparta, Georgia",,high-security,High,1267,1267,1155,1155,May 2020,1991,1991,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,Georgia Department of Corrections,,,
Hays State Prison,https://en.wikipedia.org/wiki/Hays_State_Prison,"777 Underwood Drive Trion, Georgia",,high-security,High,1683,1683,1041,1041,May 2020,1990,1990,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,Georgia Department of Corrections,,,
"United States Penitentiary, McCreary","https://en.wikipedia.org/wiki/United_States_Penitentiary,_McCreary","McCreary County,near Pine Knot, Kentucky",Operational,High-security (with minimum-security prison camp),high,NA,,"1,435 (136 in prison camp)",1413,2020,,,https://www.bop.gov/locations/institutions/mcr/,,Federal Bureau of Prisons,,,
State Correctional Institution – Pine Grove,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Pine_Grove,"189 Fyock Rd, Indiana, Pennsylvania 15701",Open,,high,1196,1163,"1,113 (February 2018)[1]",1104,2020,"January 9, 2001",2001,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,Lee J. Estock,,
State Correctional Institution – Smithfield,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Smithfield,"Smithfield Township, Huntingdon County, Pennsylvania",,Close-Security,high,1380,1342,,1247,2020,1988,1988,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
"United States Penitentiary, Canaan","https://en.wikipedia.org/wiki/United_States_Penitentiary,_Canaan","Canaan Township, Wayne County,near Waymart, Pennsylvania",Operational,High-security (with minimum-security prison camp),high,,,"1,400 (160 in prison camp)",1164,2020,2005,2005,"Additional 98 inmates in adjacent minimum security camp. Population pulled from website on 5.22.2020 Could not find capacity. 
https://www.bop.gov/locations/institutions/caa/",,Federal Bureau of Prisons,Warden Charles Maiorana,,
"United States Penitentiary, Lewisburg","https://en.wikipedia.org/wiki/United_States_Penitentiary,_Lewisburg","Kelly Township, Union County,near Lewisburg, Pennsylvania",Operational,High-security (with minimum-security prison camp),high,,,"1,400 (580 in prison camp)[1]",1105,2020,1932,1932,"Additional 301 inmates in minimum security camp. Population pulled from website on 5.22.2020 https://www.bop.gov/locations/institutions/lew/

Could not find capacity",,Federal Bureau of Prisons,,,
Sussex II State Prison,https://en.wikipedia.org/wiki/Sussex_II_State_Prison,"24427 Mussellwhite Drive Waverly, Virginia",open,close,high,1352,1352,,1233,2020,1999,1999,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
"Federal Correctional Institution, Lompoc","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Lompoc","Lompoc, California",,low,low,NA,,963,963,2020,1991,1991,https://www.bop.gov/locations/institutions/lof/,,,,,
"Federal Correctional Institution, Terminal Island","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Terminal_Island","Los Angeles, California",Operational,Low-security,low,NA,,976,976,2020,"June 1, 1938",1938,https://www.bop.gov/locations/institutions/trm/,,Federal Bureau of Prisons,,,
Taft Correctional Institution,https://en.wikipedia.org/wiki/Taft_Correctional_Institution,"1500 Cadet Road Taft, California",Operational,Low-security (with minimum-security prison camp),low,NA,,2187 (360 in prison camp),NA,2020,"August 20, 1997",1997,"CLOSED FACILITY
https://bakersfieldnow.com/news/local/bureau-of-prisons-plans-to-close-taft-correctional-institution-in-2020","January 31, 2020",Management and Training Corporation,,,
"Federal Correctional Institution, Englewood","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Englewood","Jefferson County,near Bow Mar, Colorado",Operational,Low-security (with minimum-security prison camp),low,NA,,"1,034 (186 in prison camp)",1070,2020,1938,1938,https://www.bop.gov/locations/institutions/eng/,,Federal Bureau of Prisons,,,
"Federal Correctional Institution, Oakdale I & II","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Oakdale","Oakdale, Allen Parish, Louisiana",Operational,Low-security,low,NA,,Oakdale I 986 + Oakdale II 795 = 1781,1781,2020,,,https://www.bop.gov/locations/institutions/oad/ and https://www.bop.gov/locations/institutions/oak/index.jsp,,Federal Bureau of Prisons,,,
Central Michigan Correctional Facility,https://en.wikipedia.org/wiki/Central_Michigan_Correctional_Facility,"St. Louis, Michigan",Open,Secure Level I,low,2400,2566,2432,2432,May 2020,1990,1990,"Changed the cap
Jeff Anderson, Administrator
Office of Research & Planning
Andersonj30@michigan.gov",,Michigan Department of Corrections,Warden John Christiansen,,
"Federal Correctional Institution, Milan","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Milan","York Charter Township,Washtenaw County,near Milan, Michigan",Operational,Low-security,low,,,1363,1363,2020,1933,1933,https://www.bop.gov/locations/institutions/mil/,,Federal Bureau of Prisons,,,
"Federal Correctional Institution, Elkton","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Elkton","Elkrun Township, Columbiana County, Ohio",Operational,Low-security (with minimum-security prison camp),low,,,"1,960 (620 in prison camp)",1917,2020,,1997,"Additional 395 in adjacent low security prison.
Population from https://www.bop.gov/locations/institutions/elk/

Couldn't find capacity",,Federal Bureau of Prisons,,,
Diboll Unit,https://en.wikipedia.org/wiki/Diboll_Unit,"1604 South 1st Street Diboll, Texas",open,"G1, G2",low,518,518,,,,June 1995,1995,Couldn't find current population. ,,Management and Training Corporation,,,
"Federal Correctional Institution, Seagoville","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Seagoville","Seagoville, Texas",Operational,Low-security (with minimum-security prison camp),low,,,"1,800 (170 in prison camp)",1728,2020,,1940,Minimum security prison camp is also on the facility with 140 inmates. Populate data from 5.21.2020 https://www.bop.gov/locations/institutions/sea/index.jsp,,Federal Bureau of Prisons,,,
Lockhart Unit,https://en.wikipedia.org/wiki/Lockhart_Unit,"1400 E Martin Luther King Jr Industrial Blvd Lockhart, Texas",open,"G1, G2",low,1000,1000,,,,January 1993,1993,Couldn't find current population. ,,Management and Training Corporation,,,
"Federal Correctional Institution, Fort Dix","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Fort_Dix","Fort Dix, New Jersey",Operational,Low-security (with minimum-security prison camp),low,,,"4,070 (328 in prison camp)",4070,,,,,,Federal Bureau of Prisons,,,
Rivers Correctional Institution,https://en.wikipedia.org/wiki/Rivers_Correctional_Institution,"145 Parker's Fishery Road Winton, North Carolina",open,low security,low,1450,1450,,,,2001,2001,,,GEO Group,,,
"Federal Correctional Institution, La Tuna","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_La_Tuna","Anthony, El Paso County, Texas",Operational,Low-security (with minimum-security prison camp),low,,,"1,060 (320 in prison camp)",604,2020,,,Minimum security prison camp is also on the facility with 188 inmates. Populatin data from 5.21.2020 https://www.bop.gov/locations/institutions/lat/,,Federal Bureau of Prisons,,,
Julia Tutwiler Prison for Women,https://en.wikipedia.org/wiki/Julia_Tutwiler_Prison_for_Women,"Wetumpka, Alabama",Operational,Maximum,maximum,702,226,985 (as of 2007),251,January 2020,December 1942,1942,changed the cap,,Alabama Department of Corrections,,,
Kilby Correctional Facility,https://en.wikipedia.org/wiki/Kilby_Correctional_Facility,"Mt. Meigs, Alabama",open,maximum,maximum,1400,1447,1449,1449,January 2020,1969,1969,changed the cap,,Alabama Department of Corrections,,,
Limestone Correctional Facility,https://en.wikipedia.org/wiki/Limestone_Correctional_Facility,"28779 Nick Davis Road Harvest, Alabama",,maximum,maximum,2086,2456,2212,2212,January 2020,October 1984,1984,changed the cap,,Alabama Department of Corrections,"Deborah Toney, Warden",,
Montgomery Women's Facility,https://en.wikipedia.org/wiki/Montgomery_Women%27s_Facility,"Mt. Meigs, Alabama",open,maximum,maximum,300,300,286,286,January 2020,1976,1976,,,Alabama Department of Corrections,,,
William E. Donaldson Correctional Facility,https://en.wikipedia.org/wiki/William_E._Donaldson_Correctional_Facility,"Bessemer, Alabama",open,maximum,maximum,1492,1438,1388,1388,January 2020,1982,1982,changed the cap,,Alabama Department of Corrections,,,
Spring Creek Correctional Center,https://en.wikipedia.org/wiki/Spring_Creek_Correctional_Center,"Seward, Alaska",Operational,Maximum,maximum,500,412,551,551,2019-2020,1988,1988,changed the cap,,Alaska Department of Corrections,William Lapinskas (Superintendent),,
Varner Unit,https://en.wikipedia.org/wiki/Varner_Unit,"Varner, Arkansas",open,"close, maximum",maximum,1714,1686,1719,1719,April 2020,1987,1987,"changed the cap
https://www.nwahomepage.com/news/a-closer-look/a-closer-look-prison-population-and-covid-19/",,Arkansas Department of Correction,,,
High Desert State Prison (HDSP),https://en.wikipedia.org/wiki/High_Desert_State_Prison_(California),"Susanville, California",Operational,Maximum-Supermax,maximum,2324,2324,"3,286 (141.4% capacity) (as of April 30, 2020[1])",3271,May 2020,August 1995,1995,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
Kern Valley State Prison (KVSP),https://en.wikipedia.org/wiki/Kern_Valley_State_Prison,"Delano, California",Operational,Maximum,maximum,2448,2448,"3,534 (144.4% capacity) (as of April 30, 2020[1])",3528,May 2020,June 2005,2005,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
Pelican Bay State Prison (PBSP),https://en.wikipedia.org/wiki/Pelican_Bay_State_Prison,"Crescent City, Del Norte County, California",Operational,Supermax,maximum,2380,2380,"2,608 (109.6% capacity) (as of April 30, 2020[1])",2603,May 2020,1989,1989,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
Salinas Valley State Prison (SVSP),https://en.wikipedia.org/wiki/Salinas_Valley_State_Prison,"Monterey County,near Soledad, California",Operational,Maximum,maximum,2452,2452,"2,877 (117.3% capacity) (as of April 30, 2020[1])",2872,May 2020,May 1996,1996,https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/05/Tpop1d200513.pdf,,California Department of Corrections and Rehabilitation,,,
Centennial Correctional Facility,https://en.wikipedia.org/wiki/Centennial_Correctional_Facility,"Canon City, Colorado",open,maximum,maximum,604,604,467,467,April 2020,1980,1980,https://drive.google.com/file/d/1k7k2-oQctPRxRnjrAYL3YiV1uOIUTFva/view,,Colorado Department of Corrections,,,
"United States Penitentiary, Florence ADMAX",https://en.wikipedia.org/wiki/ADX_Florence,"Fremont County, near Florence, Colorado",Operational,Supermax,maximum,NA,,377 (May 2020)[1],374,2020,November 1994,1994,https://www.bop.gov/locations/institutions/flm/,,Federal Bureau of Prisons,,,
Bridgeport Correctional Center,https://en.wikipedia.org/wiki/Bridgeport_Correctional_Center,"Bridgeport, Connecticut",Open,Level 4 (High),maximum,860,860,619,619,May 2020,1958,1958,https://portal.ct.gov/-/media/DOC/Pdf/MonthlyStat/Stat05012020.pdf?la=en,,"Connecticut, Department of Correction",,,
Cheshire Correctional Institution,https://en.wikipedia.org/wiki/Cheshire_Correctional_Institution,"900 Highland Avenue Cheshire, Connecticut",Open,Level 4 (High),maximum,1580,1580,1147,1147,May 2020,1913,1913,https://portal.ct.gov/-/media/DOC/Pdf/MonthlyStat/Stat05012020.pdf?la=en,,Connecticut Department of Correction,Warden Scott Erfe,,
Hartford Correctional Center,https://en.wikipedia.org/wiki/Hartford_Correctional_Center,"Hartford, Connecticut",Operational,Level 4 (High),maximum,984,984,"918 (as of February 1, 2018[1])",824,May 2020,1977,1977,https://portal.ct.gov/-/media/DOC/Pdf/MonthlyStat/Stat05012020.pdf?la=en,,Connecticut Department of Correction,,,
Manson Youth Institution,https://en.wikipedia.org/wiki/Manson_Youth_Institution,"42 Jarvis Street Cheshire, Connecticut",Open,Level 4,maximum,679,679,322 (June 2019),252,May 2020,1982,1982,https://portal.ct.gov/-/media/DOC/Pdf/MonthlyStat/Stat05012020.pdf?la=en,,Connecticut Department of Correction,Derrick Molden,,
Gulf Correctional Institution,https://en.wikipedia.org/wiki/Gulf_Correctional_Institution,"500 Ike Steele Road Wewahitchka, Florida",mixed,maximum,maximum,1568,1568,859,859,April 2020,1992,1992,"Lori.Nolting@fdc.myflorida.com
Lori Nolting
Operations & Management Consultant Manager",,Florida Department of Corrections,,,
"United States Penitentiary, Coleman I & II","https://en.wikipedia.org/wiki/United_States_Penitentiary,_Coleman","Sumter County, near Wildwood, Florida",Operational,High-security,maximum,NA,,2123,2123,2020,"Coleman 1 opened in 2001, Coleman 2 opened in 2004",2001,"Coleman I and II combined
https://www.bop.gov/locations/institutions/cop/",,Federal Bureau of Prisons,,,
Augusta State Medical Prison,https://en.wikipedia.org/wiki/Augusta_State_Medical_Prison,"3001 Gordon Highway Grovetown, Georgia",open,close,maximum,1326,1326,1215,1215,May 2020,1983,1983,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,Georgia Department of Corrections,,,
Georgia Diagnostic and Classification State Prison,https://en.wikipedia.org/wiki/Georgia_Diagnostic_and_Classification_State_Prison,"Jackson, Georgia, U.S.",Operational,Maximum Security / Death Row,maximum,2300,2300,3865,3865,May 2020,1968 (renovated in 1998),1968,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,Georgia Department of Corrections,,,
Macon State Prison,https://en.wikipedia.org/wiki/Macon_State_Prison,"2728 Highway 49 South Oglethorpe, Georgia",open,close,maximum,1762,1762,1635,1635,May 2020,1994,1994,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,Georgia Department of Corrections,,,
Smith State Prison,https://en.wikipedia.org/wiki/Smith_State_Prison,"9676 US-301 Glennville, Georgia",open,close security,maximum,1615,1615,1502,1502,May 2020,1993,1993,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,Georgia Department of Corrections,,,
Telfair State Prison,https://en.wikipedia.org/wiki/Telfair_State_Prison,"210 Long Bridge Road, Helena, Georgia",,close security,maximum,1420,1420,1348,1348,May 2020,1992,1992,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,Georgia Department of Corrections,,,
Ware State Prison,https://en.wikipedia.org/wiki/Ware_State_Prison,"3620 Harris Road Waycross, Georgia",open,close security,maximum,1546,1546,1495,1495,May 2020,1990,1990,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,Georgia Department of Corrections,,,
Idaho Maximum Security Institution,https://en.wikipedia.org/wiki/Idaho_Maximum_Security_Institution,"13400 S. Pleasant Valley Rd Kuna, Idaho",,maximum,maximum,402,402,484,484,May 2020,1989,1989,"Ammie Mabe
Constituent Services Manager'
amabe@idoc.idaho.gov",,Idaho Department of Correction,,,
Big Muddy River Correctional Center,https://en.wikipedia.org/wiki/Big_Muddy_River_Correctional_Center,"251 IL-37 Ina, Illinois",maximum,maximum,maximum,1958,1958,1226,1226,April 2020,March 1993,1993,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Menard Correctional Center,https://en.wikipedia.org/wiki/Menard_Correctional_Center,"1096 1350th Street Chester, Illinois",Open,Maximum,maximum,3861,3861,1763,1763,April 2020,1878,1878,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Pontiac Correctional Center,https://en.wikipedia.org/wiki/Pontiac_Correctional_Center,"700 W Lincoln Street Pontiac, Illinois",open,maximum,maximum,2298,2298,744,744,April 2020,1871,1871,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Stateville Correctional Center,https://en.wikipedia.org/wiki/Stateville_Correctional_Center,"16830 Route 53 Crest Hill, Illinois",open,maximum,maximum,4134,4134,1156,1156,April 2020,1925,1925,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Miami Correctional Facility,https://en.wikipedia.org/wiki/Miami_Correctional_Facility,"Grissom Air Reserve Base, Deer Creek Township, Miami County, near Bunker Hill, Indiana, USA",Operational,– level 4 max security,maximum,3188,3188,2846,2846,April 2020,1998,1998,https://www.in.gov/idoc/files/Indiana%20Department%20of%20Correction%20April%202020%20Total%20Population%20Summary.pdf,,Indiana Department of Corrections,,,
El Dorado Correctional Facility,https://en.wikipedia.org/wiki/El_Dorado_Correctional_Facility,"1737 SE US Highway 54 El Dorado, Kansas",Open,Maximum,maximum,1511,1511,1955,1955,May 2020,1991,1991,https://www.doc.ks.gov/publications/pop/POP%2005-21-2020.pdf/view,,Kansas Department of Corrections,,,
Jessup Correctional Institution,https://en.wikipedia.org/wiki/Jessup_Correctional_Institution,"Jessup, Maryland",Operational,Maximum adult males,maximum,,,"1,396 (daily average) (as of 2010)",1396,,1991,1991,,,Maryland Department of Public Safety and Correctional Services,,,
Patuxent Institution,https://en.wikipedia.org/wiki/Patuxent_Institution,"Jessup, Maryland",open,maximum,maximum,987,987,,,,1955,1955,,,Maryland Department of Public Safety and Correctional Services,,,
Massachusetts Correctional Institution - Cedar Junction,https://en.wikipedia.org/wiki/Massachusetts_Correctional_Institution_%E2%80%93_Cedar_Junction,"Walpole / Norfolk, Massachusetts (South Walpole postal address, ZIP code 02071)",,Level 6 (Maximum)[1],maximum,633,633,"722[2] (as of January 1, 2017)",722,,1955,1955,,,Massachusetts Department of Correction,Acting Superintendent Michael Rodrigues,,
Souza-Baranowski Correctional Center,https://en.wikipedia.org/wiki/Souza-Baranowski_Correctional_Center,"Shirley, Massachusetts, United States",Operational,Supermax,maximum,1024,1024,,,,"September 30, 1998",1998,,,Massachusetts Department of Correction,Superintendent Stephen Kenneway,,
Baraga Correctional Facility,https://en.wikipedia.org/wiki/Baraga_Correctional_Facility,,Open,Level I & V,maximum,868,868,812,812,May 2020,1993,1993,"Jeff Anderson, Administrator
Office of Research & Planning
Andersonj30@michigan.gov",,Michigan Department of Corrections,Warden Shane Place,,
St. Louis Correctional Facility,https://en.wikipedia.org/wiki/St._Louis_Correctional_Facility,,Open,Level IV,maximum,1176,1176,1143,1143,May 2020,1999,1999,"Jeff Anderson, Administrator
Office of Research & Planning
Andersonj30@michigan.gov",,Michigan Department of Corrections,,,
Woodland Center Correctional Facility,https://en.wikipedia.org/wiki/Woodland_Center_Correctional_Facility,"Whitmore Lake, Michigan",Open,Level IV,maximum,528,528,385,385,May 2020,2009,2009,"Jeff Anderson, Administrator
Office of Research & Planning
Andersonj30@michigan.gov",,Michigan Department of Corrections,Warden Jodie deangelo kipp,,
Oak Park Heights,https://en.wikipedia.org/wiki/Minnesota_Correctional_Facility_%E2%80%93_Oak_Park_Heights,"Oak Park Heights, Minnesota",Operational,"Level 5 ""Maximum""",maximum,482,482,407 (as of January 1st 2020),407,,1982,1982,,,Minnesota Department of Corrections,,,
Rush City,https://en.wikipedia.org/wiki/Minnesota_Correctional_Facility_%E2%80%93_Rush_City,"7600 525th Street, Rush City, Minnesota",Operational,close security,maximum,1000,1000,1006,1006,January 2020,February 2000,2000,https://mn.gov/doc/assets/Juvenile_Population_1_1_20_tcm1089-430020.pdf,,Minnesota Department of Corrections,,,
St. Cloud,https://en.wikipedia.org/wiki/Minnesota_Correctional_Facility_%E2%80%93_St._Cloud,"St. Cloud, Minnesota",,maximum,maximum,1000,1000,822,822,January 2020,1889,1889,https://mn.gov/doc/assets/Adult%20Prison%20Population%20Summary%201-1-2020_tcm1089-418232.pdf,,,,,
Stillwater,https://en.wikipedia.org/wiki/Minnesota_Correctional_Facility_%E2%80%93_Stillwater,"Bayport, Minnesota, United States",Operational,"Level 4- ""Close Custody""",maximum,NA,,"1537[1] (as of February 12, 2019)",1529,January 2020,1914,1914,https://mn.gov/doc/assets/Adult%20Prison%20Population%20Summary%201-1-2020_tcm1089-418232.pdf,,Minnesota Department of Corrections,,"1910–14, 1928",
Tallahatchie County Correctional Facility,https://en.wikipedia.org/wiki/Tallahatchie_County_Correctional_Facility,"Tallahatchie County, Mississippi, U.S.",open,Maximum Security,maximum,2542,1500,782,782,May 2020,2000,2000,"changed the cap
https://www.mdoc.ms.gov/Admin-Finance/MonthlyFacts/2020-5%20Fact%20Sheet.pdf",,CoreCivic,,,
North Dakota State Penitentiary,https://en.wikipedia.org/wiki/North_Dakota_State_Penitentiary,"3100 Railroad Avenue Bismarck, North Dakota",open,Maximum [1],maximum,1550,1550,,774,2019,1884 (Rebuilt in 2015),1885,"Rebuilt in 2015. Population as of 12.31.2019
https://www.docr.nd.gov/sites/www/files/documents/statistics/factsheets/2019_FACT%20SHEET.pdf",,North Dakota Department of Corrections and Rehabilitation,Colby Braun (Warden),,
Southern Ohio Correctional Facility,https://en.wikipedia.org/wiki/Southern_Ohio_Correctional_Facility,"Valley Township / Jefferson Township, Scioto County,near Lucasville, Ohio, U.S.",Operational,Maximum security,maximum,,,"1,330[1] (as of September 11, 2018)",1292,2019,1972,1972,Couldn't find capacity. Population as of 7.1.19 https://drc.ohio.gov/socf,,Ohio Department of Rehabilitation and Correction,,,
